"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"173","As millions of people across the country take to the streets and raise their voices in response to the killing of G… https://t.co/Z0Q0coDIIU",FALSE,854875,NA,2020-06-01 19:11:49,TRUE,NA,"1267534333067382784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",157693,FALSE,FALSE,NA,NA
"174","I’ve always loved joining commencements––the culmination of years of hard work and sacrifice. Even if we can’t get… https://t.co/8Ja4pnbgcz",FALSE,206864,NA,2020-05-05 15:05:41,TRUE,NA,"1257687918388424707",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",43527,FALSE,FALSE,NA,NA
"175","The folks of the Chicago @fooddepository—and food banks in communities like yours—are working overtime to feed the… https://t.co/HO23W6drUL",FALSE,66070,NA,2020-05-01 18:25:11,TRUE,NA,"1256288574313553922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11237,FALSE,FALSE,NA,NA
"176","The pandemic has magnified the financial insecurity of too many American families, the deep and real racial dispari… https://t.co/69d67PL3so",FALSE,102667,NA,2020-04-27 17:22:11,TRUE,NA,"1254823167937445890",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",17355,FALSE,FALSE,NA,NA
"177","In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together ra… https://t.co/2VaX5YcOjj",FALSE,228491,NA,2020-04-25 20:49:19,TRUE,NA,"1254150519964217347",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",43797,FALSE,FALSE,NA,NA
"178","This pandemic has painfully brought to the surface many of the reasons I launched @MBK_Alliance—structural racism r… https://t.co/VMSf31sBLt",FALSE,90268,NA,2020-04-25 00:00:58,TRUE,NA,"1253836363507609606",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",16291,FALSE,FALSE,NA,NA
"179","If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not go… https://t.co/WvZWasIqyX",FALSE,244606,NA,2020-04-24 20:53:55,TRUE,NA,"1253789288745091077",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",50567,FALSE,FALSE,NA,NA
"180","While we continue to wait for a coherent national plan to navigate this pandemic, states like Massachusetts are beg… https://t.co/uHs0qhPrKD",FALSE,175524,NA,2020-04-22 19:40:36,TRUE,NA,"1253046061091950593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",38371,FALSE,FALSE,NA,NA
"181","We've all had to adapt to cope with a pandemic. Climate change will force far harsher changes on our kids. All of u… https://t.co/rFDUjfPA10",FALSE,92793,NA,2020-04-22 15:32:30,TRUE,NA,"1252983624850341888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",17475,FALSE,FALSE,NA,NA
"182","Parents, you deserve a break – Michelle’s got storytime handled every Monday. She’s one of the best, I promise. (An… https://t.co/MpmfxfinMW",FALSE,274218,NA,2020-04-20 17:01:39,TRUE,NA,"1252281285923479553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",43204,FALSE,FALSE,NA,NA
